"scraped_at","cluster_code","clean_list_name","work_order_number","route","scope","phase","route_summary_status","astri_type","astri_label","derived_status","file_count","upload_date","verified_by","verified_at","revision_by","revision_at","revision_remark","filename","detail_url"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","permit_vip_form","Form Free Layanan","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","homepass_database","Homepass Database","APPROVED","1","2026-08-06 12:35:11","moch.putro",,,,,"homepass_database_TRG000038_20260806123511_TRG000038  APD HPDB LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.xlsx","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","rough_design_layout","Layout SnD Kasar","ON REVIEW","1","2026-07-23 21:33:23",,,,,,"rough_design_layout_TRG000038_20260723213323_LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.pdf","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","sales_validation_layout","Layout Validasi Sales","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","ptsp","PTSP","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","redline","Redline","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","subfeeder_redline","Redline Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","rekomtek","Rekomtek","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","tssr","TSSR","APPROVED","1","2026-08-06 12:35:13","moch.putro",,,,,"tssr_TRG000038_20260806123513_TSSR LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.pdf","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:38:41 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - FULL OPM","CLUSTER","FULL OPM","-","opm_otdr_acceptance_test","OPM / OTDR ATP","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/full-opm?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
