"scraped_at","cluster_code","clean_list_name","work_order_number","vendor_label","area","status_rfs","document_cw_atp_status","document_full_opm_status","document_rfs_status","document_fac_status","worst_document_status","summary_source_url"
"19-Aug-26 5:38:26 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","Technology Karya Mandiri","KUTAI KARTANEGARA","","-","-","-","-","UNKNOWN","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:41:35 PM","PBL000343","RONDOKUNING RW 03 PROBOLINGGO","WO/PROBOLINGGO/2026/INST/10/8311","Technology Karya Mandiri","PROBOLINGGO","","-","-","-","-","UNKNOWN","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=PBL000343&work_order_number=WO%2FPROBOLINGGO%2F2026%2FINST%2F10%2F8311&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:42:56 PM","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","BLITAR","","-","-","-","-","UNKNOWN","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
