primary_access_id_project;access_id_project;access_name_project;regional_project;provinsi_project;area_project;pic_project;hpplan_project;status_po;number_po;tanggal_po;tahun_po;nilai_awal_po;hp_po;po_estimasi;eks_kompetitor;tgl_canvasing;surat_ijin_bak;bak_bak;status_bak;tanggal_bak;hp_bak;report_cbn;kmz_cbn;status_cbn;tgl_submite_cbn;tgl_approve_cbn;spk_nomor;spk_tanggal;spk_target_rfs;spk_hp;report_hld;apd_hld;boq_hld;status_hld;tgl_submit_hld;tgl_approve_hld;hp_hld;apd_lld;boq_lld;report_lld;autocad_lld;schematic_lld;maincore_lld;penambang_jalan_lld;bid_lld;status_lld;tgl_submite_lld;tgl_approve_lld;hp_lld;tgl_kom;tgl_pks;tiang_implementasi;kabel_implementasi;dpfo_implementasi;cortiang_implementasi;atp_implementasi;status_implementasi;tanggal_rfs;hp_rfs;tanggal_atp;hp_atp;tanggal_bast;main_status;remarks_status;submit_invoice_bast;nilai_invoice_bast;plan_invoice_bast;keterangan_bast;submit_invoice_retensi;nilai_invoice_retensi;plan_invoice_retensi;keterangan_retensi;total_invoice;total_sisa_invoice
139;;Open Area Kampung Kepuh Cidadap Kelurahan Padalarang ;Regional 2;Jawa Barat;Bandung;Romi Bangun;1000;Belum Terbit PO;;;;;;1000000000;indihome;09/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;C. Waiting BAK;"15/01/25 : OGP BAK dan Data Profilling
09/01/25 : Bertemu dengan karang taruna kecamatan padalarang untuk sosialisasi  perijinan jaringan ftth fiberstar dikawasannya,pihak karang taruna akan membantu menjembatani akses dengan pihak desa.";;;;;;;;;0;0
140;;Open Area Desa Kertajaya;Regional 2;Jawa Barat;Bandung;Romi Bangun;1000;Belum Terbit PO;;;;;;1000000000;indihome;10/01/2025;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;C. Waiting BAK;"15/01/25 : OGP BAK dan Data Profilling
09/01/25 : Bertemu dengan karang taruna kecamatan padalarang untuk sosialisasi  perijinan jaringan ftth fiberstar dikawasannya,pihak karang taruna akan membantu menjembatani akses dengan pihak desa.";;;;;;;;;0;0
141;;RW 002 DUSUN KOLAK UTARA WONOREJO Ngadiluwih;Regional 3;Jawa Timur;Kediri;Widodo;69;Tidak Terbit PO;;;;;;;;11/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;11/12/24 : Reject;;;;;;;;;0;0
142;;RW 002 NGRONGGO;Regional 3;Jawa Timur;Kediri;Widodo;459;Tidak Terbit PO;;;;;;;Indihome, RT RW net;18/10/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"26/12/24 : RT & RW menolak, OGP BAK Reject
18/10/24 : pak RW ga ada dirumah
2/11/24 : pak RW ga ada dirumah";;;;;;;;;0;0
143;;RW 004 NGRONGGO;Regional 3;Jawa Timur;Kediri;Widodo;474;Tidak Terbit PO;;;;;;;;26/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"26/12/24 : Kelurahan menolak, OGP BAK Reject
Sudah menemui RW, dikoordinasikan dengan warga, karena sebelumnya ada comecase dengan provider lain, 18/10/24 : msh dikordinasikan dgn warga, plan revisit  senin 21/10/24";;;;;;;;;0;0
144;;Perumahan Grand Zam Zam Regency;Regional 3;Jawa Timur;Kediri;Widodo;136;Tidak Terbit PO;;;;;;;;12/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"need check email by FS (TKM atau Vendor lain)
12/11/24 : Izin aga susah
10/11/24 : Pihak ketua paguyuban perumahan masih di rundingkan dengan warga.";;;;;;;;;0;0
145;ACCESS0047-11-2024;FBEOPA KDR REJOMULYO TK;Regional 3;Jawa Timur;Kediri;Widodo;700;Sudah Terbit PO;PO24003322;02/12/2024;2024;752921500;1053;;Indihome, Indosat, Lokal WIFI;16/10/2024;DONE;DONE;OK;25/10/2024;1500;DONE;DONE;OK;12/11/2024;;No.537/MAP/JKT/NDV/LAK/REF/XI/2024;05/11/2024;W2-Januari 2025;700;DONE;DONE;DONE;OK;18/11/2024;18/11/2024;700;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;27/11/2024;28/11/2024;700;09/12/2024;09/12/2024;DONE;DONE;OGP;;;NOT OK;;;;;;S. OGP Electrical;"15/01/25 : Progress Terminasi
02/01/25 : Plan selesai impley tgl 6 Jan 25, 24 Jan RFS. Kabel Habis 12 Core
29/12/24 : Progres Penarikan Kabel
26/12/24 : OGP Implementasi
11/12/24 : Sudah bisa bisa impley, material tiang masih kurang, material kabel belum dikirim
28/11/24 : Plan KOM W49 (Tanggal 4 November 2024)
12/11/24 : HLD Approved
25/10/24 : BAK Done
21/12/24 : Infonya masih Penanaman Tiang Sejumlah 100 batang";W3 FEBRUARI;;715275425;;;;37646075;;0;752921500
146;ACCESS0122-11-2024;FBEOPA KDR DANDANGAN RW 08 TK;Regional 3;Jawa Timur;Kediri;Widodo;100;Sudah Terbit PO;PO24003448;11/12/2024;2024;105449000;203;;Indihome, RT RW net;20/10/2024;DONE;DONE;OK;05/11/2024;100;DONE;DONE;OK;12/11/2024;;No.557/MAP/JKT/NDV/LAK/REF/XI/2024;07/11/2024;W2-Januari 2025;100;DONE;DONE;DONE;OK;22/11/2024;22/11/2024;100;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;22/11/2024;22/11/2024;100;09/12/2024;17/12/2024;DONE;OGP;;;;NOT OK;;;;;;R. OGP Civil Work;"15/01/25 : Kendala di Stop LSM
02/01/24 : Plan RFS Tanggal 9 Jan 2025 ( Kendala di Stop LSM )
27/12/24 : OGP Implementasi Tarik Kabel
26/12/24 : OGP Implementasi
11/12/24 : Sudah bisa impley, tapi belum ada lokasi tiang
28/11/24 : Plan KOM W50
12/11/24 : Submit HLD
5/11/24 : BAK DONE";W3 MARET;;100176550;;;;5272450;;0;105449000
147;ACCESS0010-11-2024;FBEOPA KDR BANJARAN TK;Regional 3;Jawa Timur;Kediri;Widodo;1000;Sudah Terbit PO;PO24003321;02/12/2024;2024;440041500;749;;Indihome, Indosat;21/10/2024;DONE;DONE;OK;22/10/2024;700;DONE;DONE;OK;26/10/2024;;No.537/MAP/JKT/NDV/LAK/REF/XI/2024;05/11/2024;W2-Januari 2025;1000;DONE;DONE;DONE;OK;18/11/2024;18/11/2024;1000;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;25/11/2024;22/11/2024;1000;09/12/2024;10/12/2024;OGP;;;;;NOT OK;;;;;;R. OGP Civil Work;"27/12/24 : Implementasi Tanggal 3 Januari 2025
26/12/24 : Plan Implementasi W1 Jan 2025
11/12/24 : Sudah bisa impley. Need Perizinan PU, SPK by Permite sudah release
28/11/24 : Plan KOM W49 (Tanggal 4 November 2024)
BAK Done (RW 1,2,5,6,8,10)
21/12/24 : Infonya Douglas Belum Implementasi kendala Perijinan PU Kota. Sedang di urus oleh Pak Widodo.";W3 MARET;;418039425;;;;22002075;;0;440041500
148;ACCESS0183-11-2024;FBEOPA PAR TULUNGREJO DUSUN MULYOASRI TK;Regional 3;Jawa Timur;Kediri;Widodo;450;Sudah Terbit PO;PO24003635;27/12/2024;2024;390364000;609;;My rep, Indihome;18/10/2024;DONE;DONE;OK;07/11/2024;450;DONE;DONE;OK;12/11/2024;;No.587/MAP/JKT/NDV/LAK/REF/XI/2024;13/11/2024;W3-Januari 2025;450;DONE;DONE;DONE;OK;10/12/2024;10/12/2024;450;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;06/01/2025;06/01/2025;450;;;;;;;;NOT OK;;;;;;Q. Marking / BAP;"16/01/25 : Agenda KOM Tanggal 16 Jan 2025
15/01/25 : OGP KOM 15 Jan 2025
09/01/25 : Submite LLD 6 Jan 2025
26/12/24 : Target Submite LLD 3 Jan 2025
11/12/24 : Plan submite LLD W50";W2 MARET;;370845800;;;;19518200;;0;390364000
149;ACCESS0182-11-2024;FBEOPA PAR TULUNGREJO DUSUN MANGUNREJO TK;Regional 3;Jawa Timur;Kediri;Widodo;450;Sudah Terbit PO;PO24003632;27/12/2024;2024;495186000;812;;My rep, Indihome;18/10/2024;DONE;DONE;OK;07/11/2024;450;DONE;DONE;OK;12/11/2024;;No.587/MAP/JKT/NDV/LAK/REF/XI/2024;13/11/2024;W3-Januari 2025;450;DONE;DONE;DONE;OK;02/12/2024;05/12/2024;450;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;16/12/2024;16/12/2024;450;;;OGP;;;;;NOT OK;;;;;;R. OGP Civil Work;"16/01/25 : Agenda KOM Tanggal 16 Jan 2025
15/01/25 : OGP KOM 15 Jan 2025
02/01/24 : PKS done by FS, waiting jadwal KOM
26/12/24 : Target KOM W1 Jan 2025
16/12/24 : Done submited LLD, waiting KOM
11/12/24 : Plan submite LLD W50
2/12/24 : Done submited HLD, waiting approval";W1 MARET;;470426700;;;;24759300;;0;495186000
150;ACCESS0181-11-2024;FBEOPA PAR TULUNGREJO DUSUN TEGALSARI TK;Regional 3;Jawa Timur;Kediri;Widodo;450;Sudah Terbit PO;PO24003597;18/12/2024;2024;462998500;651;;My rep, Indihome;18/10/2024;DONE;DONE;OK;07/11/2024;450;DONE;DONE;OK;12/11/2024;;No.587/MAP/JKT/NDV/LAK/REF/XI/2024;13/11/2024;W3-Januari 2025;450;DONE;DONE;DONE;OK;05/12/2024;05/12/2024;450;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;13/01/2025;14/01/2025;450;;;OGP;;;;;NOT OK;;;;;;R. OGP Civil Work;"16/01/25 : Agenda KOM Tanggal 16 Jan 2025
15/01/25 : OGP KOM 15 Jan 2025
13/01/25 : Submit LLD Tanggal 13 Jan 2025
26/12/24 : Target Submite LLD 3 Jan 2025
11/12/24 : Plan submite LLD W50";W4 MARET;;439848575;;;;23149925;;0;462998500
151;ACCESS0180-11-2024;FBEOPA PAR TULUNGREJO DUSUN TULUNGREJO TK;Regional 3;Jawa Timur;Kediri;Widodo;450;Sudah Terbit PO;PO24003595;18/12/2024;2024;301120500;446;;My rep, Indihome;18/10/2024;DONE;DONE;OK;12/11/2024;450;DONE;DONE;OK;12/11/2024;;No.587/MAP/JKT/NDV/LAK/REF/XI/2024;13/11/2024;W3-Januari 2025;450;DONE;DONE;DONE;OK;04/12/2024;05/12/2024;450;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;18/12/2024;18/12/2024;450;;;;;;;;NOT OK;;;;;;Q. Marking / BAP;"16/01/25 : Agenda KOM Tanggal 16 Jan 2025
15/01/25 : OGP KOM 15 Jan 2025
02/01/24 : PKS done by FS, waiting jadwal KOM
26/12/24 : Target KOM W1 Jan 2025
18/12/24 : Done submited LLD, waiting KOM
11/12/24 : Plan submite LLD W50
5/11/24 : Kepala dusun menyetujui, menunggu utk survey area pemasangan tiang.";W4 MARET;;286064475;;;;15056025;;0;301120500
152;ACCESS0132-12-2024;FBEOPA KDR KEMASAN RW 01 TK;Regional 3;Jawa Timur;Kediri;Widodo;178;Sudah Terbit PO;PO25000205;10/01/2025;2025;167733000;239;;Indihome, RT RW net;12/11/2024;DONE;DONE;OK;45608;200;DONE;DONE;OK;20/01/2025;;No.736/MAP/JKT/NDV/LAK/REF/XII/2024;10/12/2024;W1-Maret 2025;200;DONE;DONE;DONE;OK;23/12/2024;24/12/2024;178;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;20/01/2025;20/01/2025;178;;;;;;;;NOT OK;;;;;;K. Waiting PO;"20/01/25 : Approval LLD dari Pak Afhandi
20/01/25 : Submit LLD oleh Pak Broto Tanggal 20 Jan 2025
15/01/25 : Plan submite LLD 18 Jan 2025
26/12/24 : Target submite LLD tgl 3 Jan 2025
Plan submite HLD 12 Des 2024
Pak RW setuju utk dilakukan pemasangan, menunggu diskusi selanjutnya utk pembahasan donasi.
9/11/24 : Pak RW setuju, disarankan implementasi setelah pilkada selesai.";W4 MARET;;159346350;;;;8386650;;0;167733000
153;ACCESS0133-12-2024;FBEOPA KDR REJOMULYO RW 05 TK;Regional 3;Jawa Timur;Kediri;Widodo;300;Sudah Terbit PO;PO25000296;17/01/2025;2025;216185500;270;;Indihome, Indosat, Lokal WIFI;06/11/2024;DONE;DONE;OK;45602;300;DONE;DONE;OK;12/11/2024;;No.736/MAP/JKT/NDV/LAK/REF/XII/2024;10/12/2024;W1-Maret 2025;300;DONE;DONE;DONE;OK;23/12/2024;24/12/2024;300;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;16/01/2025;16/01/2025;300;;;OGP;;;;;NOT OK;;;;;;R. OGP Civil Work;"16/01/25 : Approve LLD 16 Jan 2025
15/01/25 : Submite LLD 16 Jan 2025
26/12/24 : Target submite LLD tgl 3 Jan 2025
Jadi satu dg Kel. Rejomulyo
Pihak terkait masih berkoordinasi dengan warga setempat /. HOLD";W4 MARET;;205376225;;;;10809275;;0;216185500
154;ACCESS0082-01-2025;FBEOPA KDR PAKELAN RW.03 TK;Regional 3;Jawa Timur;Kediri;Widodo;200;Belum Terbit PO;;;;;;200,000,000;Indihome;12/12/2024;DONE;DONE;OK;45645;200;;;NOT OK;;;No.037/MAP/JKT/NDV/LAK/REF/I/2025;13/01/2025;W02 – Februari 2025;200;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;F. SPK Released;"15/01/25 : Plan submite HLD Tgl 23 Jan 2025
26/12/24 : Plan submite HLD tgl 2 Jan 2025
11/12/24 : BAK Done 1 Kel. progress tagging HP
Pak RW tidak ada dirumah.";;;;;;;;;0;0
155;ACCESS0084-01-2025;FBEOPA KDR PAKELAN RW.01 TK;Regional 3;Jawa Timur;Kediri;Widodo;200;Belum Terbit PO;;;;;;200000000;Indihome;12/12/2024;DONE;DONE;OK;45645;200;;;NOT OK;;;No.037/MAP/JKT/NDV/LAK/REF/I/2025;13/01/2025;W02 – Februari 2025;200;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;F. SPK Released;15/01/25 : Plan submite HLD Tgl 23 Jan 2025;;;;;;;;;0;0
156;ACCESS0080-01-2025;FBEOPA KDR BETET RW.01 TK;Regional 3;Jawa Timur;Kediri;Widodo;200;Belum Terbit PO;;;;;;200,000,000;Indihome;26/12/2024;DONE;DONE;OK;45642;200;;;NOT OK;;;No.037/MAP/JKT/NDV/LAK/REF/I/2025;13/01/2025;W02 – Februari 2025;200;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;F. SPK Released;"15/01/25 : Plan submite HLD Tgl 25 Jan 2025
02/01/24 : Waiting SPK
26/12/24 : BAK Done, Plan Submite W1 Jan 2025
Pak lurah belum bisa ditemui, revisit Jumat, 1 November 2024.
6/11/24 : RW menunggu pertemuan RT/RW terlebih dahulu. ";;;;;;;;;0;0
157;;RW 002 MANISRENGGO Kota;Regional 3;Jawa Timur;Kediri;Widodo;141;Belum Terbit PO;;;;;;141,000,000;;26/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"02/01/25 : Menunggu port ready dari Pihak FS
26/12/24 : OGP BAK. proses pengajuan Backbone";;;;;;;;;0;0
158;;Perum Bumi Asri;Regional 3;Jawa Timur;Kediri;Widodo;678;Belum Terbit PO;;;;;;678,000,000;Indihome, Biznet;12/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"02/01/25 : Menunggu hasil  koordinasi PUPR
26/12/24 : Menunggu survey dari PUPR, plan Ssnin tgl 30 Des 2024
Diajukan ke pak RW karna pak RW sedang tidak dirumah.";;;;;;;;;0;0
159;;Perum Mekar Indah;Regional 3;Jawa Timur;Kediri;Widodo;66;Belum Terbit PO;;;;;;66,000,000;;12/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;26/12/24 : Proses sosialisasi dan melengkapi TTD BAK, need check email by FS (TKM atau Vendor lain);;;;;;;;;0;0
160;;RW 008 NGADIREJO;Regional 3;Jawa Timur;Kediri;Widodo;153;Belum Terbit PO;;;;;;153,000,000; Indosat, Indihome;26/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"15/01/25 : PUPR Release W4 Jan
02/01/24 : BAK menunggu hasil PUPR, W2 Jan 2025
26/12/24 : Melengkapi TTD Lurah dan izin PUPR
Pak RW tidak ada dirumah.
12/11/24 : Akan ketemu setelah Pilkada";;;;;;;;;0;0
161;;RW 009 NGADIREJO;Regional 3;Jawa Timur;Kediri;Widodo;157;Belum Terbit PO;;;;;;157,000,000;Indosat, Indihome;17/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"15/01/25 : PUPR Release W4 Jan
02/01/24 : BAK menunggu hasil PUPR, W2 Jan 2025
26/12/24 : Melengkapi TTD Lurah dan izin PUPR
Masih dikoordinasikan dgn warga.
12/11/24 : Akan ketemu setelah Pilkada";;;;;;;;;0;0
162;;RW 006 NGADIREJO;Regional 3;Jawa Timur;Kediri;Widodo;143;Belum Terbit PO;;;;;;143,000,000;Indosat, Indihome;26/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"15/01/25 : PUPR Release W4 Jan
02/01/24 : BAK menunggu hasil PUPR, W2 Jan 2025
26/12/24 : Melengkapi TTD Lurah dan izin PUPR
Masih dikoordinasikan dgn warga.
12/11/24 : Akan ketemu setelah Pilkada";;;;;;;;;0;0
163;;Perumahan Gading Raya Permai 2;Regional 3;Jawa Timur;Kediri;Widodo;105;Belum Terbit PO;;;;;;105,000,000;;12/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"02/01/25 : Menunggu port ready dari Pihak FS
26/12/24 : OGP BAK. proses pengajuan Backbone";;;;;;;;;0;0
164;;RW 003 SETONO PANDE;Regional 3;Jawa Timur;Kediri;Widodo;208;Belum Terbit PO;;;;;;208,000,000;Indosat;11/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;D. BAK Done;"15/01/25 : Waiting BAK
26/12/24 : Target Submite BAK tgl 7 Jan 2025
11/12/24 : BAK Done (progress TTD RT)
pak RW ga ada dirumah";;;;;;;;;0;0
165;;RW 003 KAMPUNG DALEM Kota;Regional 3;Jawa Timur;Kediri;Widodo;277;Belum Terbit PO;;;;;;277,000,000;;23/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"02/01/25 : Masih koordinasi dengan RW dan warga
26/12/24 : Proses revisit, plan 30 Des 2024";;;;;;;;;0;0
166;;Perumahan Puri Kedaton;Regional 3;Jawa Timur;Kediri;Widodo;138;Belum Terbit PO;;;;;;138,000,000;Indihome, Biznet, First media;11/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"02/01/25 : Waiting BAK, pihak RW meminta UG
26/12/24 : Underground need review by Access
Masih dikoordinasikan dgn warga.
12/11/24 : Runding dengan warga";;;;;;;;;0;0
167;;Perum Puri Asri;Regional 3;Jawa Timur;Kediri;Widodo;65;Belum Terbit PO;;;;;;65,000,000;;26/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"02/01/25 : pihak RW meminta UG
26/12/24 : Underground need review by Access
26/12/24 : Underground need review by Access";;;;;;;;;0;0
168;;Desa Pojok Mojoroto Perum Wilis;Regional 3;Jawa Timur;Kediri;Widodo;1200;Belum Terbit PO;;;;;;1,200,000,000;;08/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"02/01/24 : Menunggu izin PUPR
26/12/24 : Menunggu izin PUPR
8/11/24 : Pihak Kelurahan menyetujui tetapi harus meminta ijin ke RT/RW terlebih dahulu.";;;;;;;;;0;0
169;;Sukorame;Regional 3;Jawa Timur;Kediri;Widodo;99;Belum Terbit PO;;;;;;99,000,000;;08/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"26/12/24 : Menunggu izin PUPR
8/11/24 : Pihak Kelurahan menyetujui tetapi harus meminta ijin ke RT/RW terlebih dahulu.";;;;;;;;;0;0
170;;Perum Wisma Asri;Regional 3;Jawa Timur;Kediri;Widodo;99;Belum Terbit PO;;;;;;99,000,000;;09/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"02/01/24 : Approval UG by FS
26/12/24 : Underground need review by Access
9/11/24 : Masih dikoordinasikan dgn warga.";;;;;;;;;0;0
171;;Wonosari;Regional 3;Jawa Timur;Kediri;Widodo;99;Belum Terbit PO;;;;;;99,000,000;;26/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;B. Canvasing Done;"15/01/25 : Target revisit Tgl 20 Jan 2025
02/01/25 : Plan Canvassing Tanggal 3 Jan 2025
26/12/24 : Sosisalisasi Target W1 Jan 2025
Pak lurah masih koordinasi sama RT dan RW";;;;;;;;;0;0
172;;LINGKUNGAN 3 Kemiling Permai;Regional 1;Bandar Lampung;Lampung;Supriyatno;1200;Tidak Terbit PO;;;;;;;biznet, xl, my republic dan indihome;05/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"26/12/24 : Reject by Lurah
5/11/24 : sudah menjelaskan maksud dan tujuan, kepala lingkungan 1 belum bisa memutuskan diizinkan atau tidaknya dikarenakan perlu berkoordinasi dengan RT. Jumlah RT 15";;;;;;;;;0;0
173;;Perum Polda;Regional 1;Bandar Lampung;Lampung;Supriyatno;1225;Tidak Terbit PO;;;;;;;biznet, xl, my republic dan indihome;24/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"02/01/24 : Reject
26/12/24 : Rejecy by RT, masih di renego
20/11/24: Target BAK W48 
12/11/24 : berkoordinasi dengan lurah beringin raya dan kepala lingkungan 2 & 3
1/11/24 : Pihak kepala lingkungan baru berkoordinasi dengan RT 1,2,3,4,5,6,7,15,16,17 dan ada beberapa RT yg belum dikoordinasikan, akan dikabarkan apa bila sudah dikoordinasikan dan apa hasilnya";;;;;;;;;0;0
174;;Kelurahan Kemiling permai;Regional 1;Bandar Lampung;Lampung;Supriyatno;3500;Tidak Terbit PO;;;;;;;biznet, xl, my republic dan indihome;05/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;" 26/12/24 : Reject by Lurah
6/11/24 : Sudah bertemu dengan lurah dan menjelaskan maksud dan tujuan terkait pembangunan jaringan internet FS, lurah belum bisa mengizikan dikarenakan warga banyak yg menolak untuk adanya penambahan tiang";;;;;;;;;0;0
175;ACCESS0057-11-2024;FBEOPA BDL Beringin RY Ling 2 Perumnas Beringin Sinar Waluyo;Regional 1;Bandar Lampung;Lampung;Supriyatno;788;Sudah Terbit PO;PO24003449;11/12/2024;2024;463470000;785;;biznet, xl, my republic dan indihome;22/10/2024;DONE;DONE;OK;45597;788;DONE;DONE;OK;04/11/2024;;No.550/MAP/JKT/NDV/ARF/REF/XI/2024;07/11/2024;W1-Februari 2025;788;DONE;DONE;DONE;OK;04/11/2024;08/11/2024;788;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;08/11/2024;12/11/2024;788;02/12/2024;11/12/2024;OGP;;;;;NOT OK;;;;;;R. OGP Civil Work;"14/01/25 : Issue Perkim, tiang minta dicabut
02/01/25 :  BOQ 123 Tiang, dari HO dari 90 tiang, sudah tertanam 50 tiang
26/12/24 : OGP implementasi Tanam Tiang, namun masih ada kekurangn material tiang dan aksesoris kendala produksi dan libur nataru plan pengiriman W1 Jan 2025
16/12/24 : Penyerahan donasi kompensasi dan marking pole
11/12/24 : PKS released // sudah bisa impley menunggu material kabel
2/12/24 : KOM Done, menunggu PKS released estimasi 1 - 2 minggu
20/11/24: Koordinasi dg PIC Acc untuk pembayaran donasi
Sudah berkoordinasi dengan kepala lingkungan 2, kepala lingkungan 2 akan meminta waktu ± 7 hari untuk berkoordinasi dengan RT, jumlah RT 15
Sebelumnya my rep dilingkungan 2, dengan kompensasi 3juta/RT
Sudah dinegosiasi dengan saya dan HUMAS terkait kompensasi tersebut";W3 MARET;;440296500;;;;23173500;;0;463470000
176;ACCESS0082-12-2024;FBEOPA BDL KEMILING RAYA LINGKUNGAN 2 TK ;Regional 1;Bandar Lampung;Lampung;Supriyatno;600;Belum Terbit PO;;;;;;600,000,000;biznet, xl, my republic dan indihome;05/11/2024;DONE;DONE;OK;45616;600;DONE;DONE;OK;15/11/2024;;No.755/MAP/JKT/NDV/ARF/REF/XII/2024;17/12/2024;W4-Februari 2025;600;DONE;DONE;DONE;OK;23/11/2024;25/11/2024;600;DONE;DONE;DONE;DONE;DONE;DONE;DONE;DONE;OK;06/12/2024;;600;;;;;;;;NOT OK;;;;;;J. Waiting Approval LLD;"02/01/25 : Issue donasi done SPK, high donasi 33jt
11/12/24 : Need approval LLD
6/12/24 : Done submite LLD, Need Approval
20/11/24 : Target submite HLD
12/11/24 : Finishing tagging HP dang tagging tiang
5/11/24 : sudah menjelaskan maksud dan tujuan, kepala lingkungan 1 belum bisa memutuskan diizinkan atau tidaknya dikarenakan perlu berkoordinasi dengan RT. Jumlah RT 15";;;;;;;;;0;0
