primary_access_id_project;access_id_project;access_name_project;regional_project;provinsi_project;area_project;pic_project;hpplan_project;status_po;number_po;tanggal_po;tahun_po;nilai_awal_po;hp_po;po_estimasi;eks_kompetitor;tgl_canvasing;surat_ijin_bak;bak_bak;status_bak;tanggal_bak;hp_bak;report_cbn;kmz_cbn;status_cbn;tgl_submite_cbn;tgl_approve_cbn;spk_nomor;spk_tanggal;spk_target_rfs;spk_hp;report_hld;apd_hld;boq_hld;status_hld;tgl_submit_hld;tgl_approve_hld;hp_hld;apd_lld;boq_lld;report_lld;autocad_lld;schematic_lld;maincore_lld;penambang_jalan_lld;bid_lld;status_lld;tgl_submite_lld;tgl_approve_lld;hp_lld;tgl_kom;tgl_pks;tiang_implementasi;kabel_implementasi;dpfo_implementasi;cortiang_implementasi;atp_implementasi;status_implementasi;tanggal_rfs;hp_rfs;tanggal_atp;hp_atp;tanggal_bast;main_status;remarks_status;submit_invoice_bast;nilai_invoice_bast;plan_invoice_bast;keterangan_bast;submit_invoice_retensi;nilai_invoice_retensi;plan_invoice_retensi;keterangan_retensi;total_invoice;total_sisa_invoice
12;;Cipinang Cempedak RW 09;Regional 2;DKI Jakarta;Jakarta;Nasrul;456;Tidak Terbit PO;;;;;;;;28/10/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;28/10/2024 : karna sudah banyak provider yang masuk sehingga sudah tidak ada space lagi untuk tanam tiang.;;;;;;;;;0;0
13;;Cipinang Cempedak RW 10;Regional 2;DKI Jakarta;Jakarta;Nasrul;297;Tidak Terbit PO;;;;;;;;28/10/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;28/10/2024 : karna sudah banyak provider yang masuk sehingga sudah tidak ada space lagi untuk tanam tiang.;;;;;;;;;0;0
14;;Cipinang Cempedak RW 11;Regional 2;DKI Jakarta;Jakarta;Nasrul;584;Tidak Terbit PO;;;;;;;;28/10/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;28/10/2024 : karna sudah banyak provider yang masuk sehingga sudah tidak ada space lagi untuk tanam tiang.;;;;;;;;;0;0
15;;Kebayoran Lama Utara RW 03;Regional 2;DKI Jakarta;Jakarta;Nasrul;233;Tidak Terbit PO;;;;;;;;09/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"9/12/24 : High donasi Drop by FS
1/12/24 : Masih menunggu jadwal
14/11/24 : Mba Alfina dan hilda akan revisit untuk negosiasi 
27/10/2024 : BAK Done, Pengajuan Donasi pertiang berikut nominal sesuai di Dokumen. (2,5jt / tiang @20 tiang)";;;;;;;;;0;0
16;;Kebayoran Lama Utara RW 08;Regional 2;DKI Jakarta;Jakarta;Nasrul;556;Tidak Terbit PO;;;;;;;Telkom, MyRep, FM;14/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"26/12/24 : Reject (High Donasi) // 2.5 juta/tiang
9/12/24 : Target canvasing W50
20/11/24 : Plan untuk progress 1 kecamatan Revisit W50
14/11/24 : Pak RW menyetujui & mengizinkan pembangunan FS, plan impley mengundang Mba Alfina";;;;;;;;;0;0
17;;Pasar Manggis RW 03;Regional 2;DKI Jakarta;Jakarta;Nasrul;190;Tidak Terbit PO;;;;;;;;05/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"20/11/24 : sudah banyak provider
5/11/2024 : Pak RW menyetujui pembangunan infrastruktur Fiber Star dgn permintaan donasi perbatang sekitar 2.5 JT/tiang";;;;;;;;;0;0
18;;Pasar Manggis RW 04;Regional 2;DKI Jakarta;Jakarta;Nasrul;138;Tidak Terbit PO;;;;;;;;05/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"20/11/24 : sudah banyak provider
5/11/2024 : Pak RW menyetujui pembangunan infrastruktur Fiber Star dgn permintaan donasi perbatang sekitar 2.5 JT/tiang";;;;;;;;;0;0
19;;Pasar Minggu RW 08;Regional 2;DKI Jakarta;Jakarta;Nasrul;442;Tidak Terbit PO;;;;;;;;20/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"3/12/24 : Warga menolak
20/11/24 : susah penanaman tiang target visit W48";;;;;;;;;0;0
20;;Perumahan Gili Samping;Regional 2;DKI Jakarta;Jakarta;Nasrul;700;Tidak Terbit PO;;;;;;;Indihome, FM, Biznet, & MyRepublic;12/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"18/12/24 : Hasil survey komplek hanya ada -/+ 30 HP. Sudah koordinasi dgn team SnD & FS tidak berpotensi implementasi jika hp dibawah 100 hp.
14/12/24 : Pak RW menyarankan koordinasi dgn RT / pengurus komplek terlebih dahulu selanjutnya koordinasi dgn RW lagi. Dan mengizinkan SnD terlebih dahulu.
12/12/24 : Pak RW sedang tidak ada ditempat
9/12/24 : Plan Canvasing : W50";;;;;;;;;0;0
21;;Perumahan Regensi Lestari Kembangan;Regional 2;DKI Jakarta;Jakarta;Nasrul;150;Tidak Terbit PO;;;;;;;;29/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;Potensi Reject, warga menolak pembangunan;;;;;;;;;0;0
22;;Perumahan Sunrise Garden (bukit Putra) RW 010;Regional 2;DKI Jakarta;Jakarta;Nasrul;1800;Tidak Terbit PO;;;;;;;Indihome, Biznet;14/12/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;"18/12/24 : Eksisting Fiberstar
9/12/24 : Plan Canvasing : W50";;;;;;;;;0;0
23;;KOMPLEK POLRI MUNJUL;Regional 2;DKI Jakarta;Jakarta;Dimas;363;Tidak Terbit PO;;;;;;;;29/11/2024;;;NOT OK;;;;;NOT OK;;;;;;;;;;NOT OK;;;;;;;;;;;;NOT OK;;;;;;;;;;;NOT OK;;;;;;Y. DROP;29/11/24 : Pihak RW menolak pembangunan infrastruktur menggunakan metode New Pole. Kemudian ketika ditawarkan metode underground pihak RW meminta waktu untuk mendiskusikan terlebih dahulu ke para RT nya;;;;;;;;;0;0
