cutoff_group,cluster_name,cluster_code,regional_name,province_name,city_name,team_name,rpm,sm,spv,status_current,status_bak,status_valsal,status_batch_approval,status_drm,status_atp,status_checklist_document,hp_plan,homepass_bak,homepass_valsal,hp_donasi,homepass_drm,olt_name,ba_open_date,bak_date,valsal_date,submission_date,released_at,drm_date,email_atp_date,actual_atp_date,rfs_date,rfs_cluster_id,po_type,INITIAL,po_number,po_date,po_value,status_po,po_version_label,remark_po,remark_general
ATP,DUSUN TULUNGREJO MADIUN,MAD000532,REGIONAL 3,JATIM,MADIUN,,,,,ATP,DONE,DONE,RELEASED,DONE,,ON PROGRESS,,,,,195,,,,,,,4/13/2026,,DONE,4/25/2026,,,,,,,,,,
ATP,DUSUN KARANGANYAR MADIUN,MAD000531,REGIONAL 3,JATIM,MADIUN,,,,,ATP,DONE,DONE,RELEASED,DONE,,ON PROGRESS,,,,,195,,,,,,,4/13/2026,,DONE,4/21/2026,,,,,,,,,,
ATP,BATU AMPAR RT 03 BALIKPAPAN,BPP000891,REGIONAL 4,KALTIM,BALIKPAPAN,,,,,ATP,DONE,DONE,RELEASED,DONE,,ON PROGRESS,,,,,216,,,,,,,4/16/2026,,5/13/2026,4/27/2026,,,,,,,,,,
ATP,JAHAB RT 04 SAMPAI 06 KUTAI KARTANEGARA,TRG000105,REGIONAL 4,KALTIM,KUTAI KARTANEGARA,,,,,ATP,DONE,DONE,RELEASED,DONE,,ON PROGRESS,,,,,225,,,,,,,4/14/2026,5/8/2026,5/11/2026,4/30/2026,,,,,,,,,,
RFS,PATRANG RW 01 JEMBER,JMR000348,REGIONAL 3,JATIM,JEMBER,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,246,,,,,,,4/16/2026,,,4/25/2026,,,,,,,,,,
RFS,PONDOK MENTARI BALIKPAPAN,BPP000153,REGIONAL 4,KALTIM,BALIKPAPAN,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,373,,,,,,,4/21/2026,,,4/30/2026,,,,,,,,,,
ATP,Open Area Jl. Dukuh Tanjang Pertanjungan Petarukan,PML000357,REGIONAL 3,JATENG,PEMALANG,,,,,ATP,DONE,DONE,RELEASED,DONE,,ON PROGRESS,,,,,226,,,,,,,4/23/2026,,5/12/2026,4/30/2026,,,,,,,,,,
RFS,OPEN AREA JL. SIKOYO PATRANG JEMBER,JMR000279,REGIONAL 3,JATIM,JEMBER,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,240,,,,,,,4/30/2026,,,4/30/2026,,,,,,,,,,
RFS,GEBANG RW 10 PATRANG,JMR000157,REGIONAL 3,JATIM,JEMBER,,,,,RFS,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,161,,,,,,,4/16/2026,,,4/28/2026,,,,,,,,,,
ATP,JAHAB RT 14 DAN 18 KUTAI KARTANEGARA,TRG000106,REGIONAL 4,KALTIM,KUTAI KARTANEGARA,,,,,ATP,DONE,DONE,RELEASED,DONE,,ON PROGRESS,,,,,109,,,,,,,4/27/2026,5/8/2026,5/11/2026,4/30/2026,,,,,,,,,,
IMPLEMENTASI,PERUMAHAN ALAM JUANDA CLUSTER DENVER SIDOARJO,,REGIONAL 3,JATIM,SIDOARJO,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,116,,,,,,,11/14/2025,,,,,CLUSTER,INITIAL,7400104138,11/28/2025,28929200,,v1,PO AWAL,
IMPLEMENTASI,Buakanna RW.06,MKS000148,REGIONAL 5,SULSEL,MAKASSAR,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,480,,,,,,,3/7/2025,,,,,CLUSTER,INITIAL,7400077186,5/9/2025,103411750,,v1,PO AWAL,
IMPLEMENTASI,TAMAMAUNG RW 06 MAKASSAR,MKS000684,REGIONAL 5,SULSEL,MAKASSAR,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,514,,,,,,,5/13/2025,,,,,CLUSTER,INITIAL,7400080734,6/5/2025,95716750,,v1,PO AWAL,
IMPLEMENTASI,Tamamaung RW 05,MKS000683,REGIONAL 5,SULSEL,MAKASSAR,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,480,,,,,,,5/13/2025,,,,,CLUSTER,INITIAL,7400080730,6/5/2025,99638750,,v1,PO AWAL,
IMPLEMENTASI,RAGEMANUNGGAL RW 03 CIBUBUR,CBR002892,REGIONAL 2,JAKARTA,CIBUBUR,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,,,,,,,,,,,,,CLUSTER,INITIAL,7400109800,1/6/2026,65057850,,v1,PO AWAL,
IMPLEMENTASI,Ngawonggo RW 01 Ceper,KLN000704,REGIONAL 3,JATENG,KLATEN,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,374,,,,,,,3/5/2026,,,,,CLUSTER,INITIAL,7400118702,3/18/2026,106306150,,v1,PO AWAL,
IMPLEMENTASI,Ngawonggo RW 06,KLN000705,REGIONAL 3,JATENG,KLATEN,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,469,,,,,,,3/5/2026,,,,,CLUSTER,INITIAL,7400120655,4/13/2026,101870600,,v1,PO AWAL,
IMPLEMENTASI,NGAWONGGO RW 09 KLATEN,KLN001404,REGIONAL 3,JATENG,KLATEN,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,246,,,,,,,3/5/2026,,,,,CLUSTER,INITIAL,7400120646,4/13/2026,75366650,,v1,PO AWAL,
IMPLEMENTASI,Parakancanggah RW 07 Banjarnegara,BNR000040,REGIONAL 3,JATENG,BANJARNEGARA,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,112,,,,,,,9/10/2025,,,,,,,,,,,,,
IMPLEMENTASI,OPEN AREA JL. RAYA KEDUNGBOKOR,BBS000293,REGIONAL 3,JATENG,BREBES,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,,,,,,,,,,,,,CLUSTER,INITIAL,7400107544,12/22/2025,40849500,,v1,PO AWAL,
IMPLEMENTASI,PERUMAHAN PURI HALIM 4 JAMBI,JMB001159,REGIONAL 1,JAMBI,JAMBI,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,137,,,,,,,12/22/2025,,,,,CLUSTER,INITIAL,7400111420,1/30/2026,35533750,,v1,PO AWAL,
IMPLEMENTASI,LENGKONG RW 01 TEGAL,TGL001278,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,221,,,,,,,12/10/2025,,,,,CLUSTER,INITIAL,7400111406,1/30/2026,52318900,,v1,PO AWAL,
IMPLEMENTASI,LENGKONG RW 03 TEGAL,TGL001380,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,210,,,,,,,12/10/2025,,,,,CLUSTER,INITIAL,7400111428,1/30/2026,54267400,,v1,PO AWAL,
IMPLEMENTASI,BOJONG RW 01 TEGAL,TGL001377,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,216,,,,,,,12/26/2025,,,,,CLUSTER,INITIAL,7400111426,1/30/2026,52775350,,v1,PO AWAL,
IMPLEMENTASI,BOJONG RW 03 TEGAL,TGL001379,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,277,,,,,,,12/12/2025,,,,,CLUSTER,INITIAL,7400113060,2/9/2026,58965850,,v1,PO AWAL,
IMPLEMENTASI,BUNIWAH RW 02 TEGAL,TGL001430,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,241,,,,,,,12/29/2025,,,,,CLUSTER,INITIAL,7400113068,2/9/2026,68277900,,v1,PO AWAL,
IMPLEMENTASI,BUNIWAH RW 03 TEGAL,TGL001429,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,108,,,,,,,11/20/2025,,,,,CLUSTER,INITIAL,7400109859,1/6/2026,36632200,,v1,PO AWAL,
IMPLEMENTASI,RAGEMANUNGGAL RW 04 CIBUBUR,CBR002893,REGIONAL 2,JAKARTA,CIBUBUR,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,125,,,,,,,1/2/2026,,,,,CLUSTER,INITIAL,7400117763,3/12/2026,45860400,,v1,PO AWAL,
IMPLEMENTASI,PERUMAHAN GRIYA SULTANA II GORONTALO,GTO000211,REGIONAL 5,GORONTALO,GORONTALO,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,266,,,,,,,1/8/2026,,,,,CLUSTER,INITIAL,7400120676,4/13/2026,59400400,,v1,PO AWAL,
IMPLEMENTASI, LAREN RW 07 BREBES ,BBS000986,REGIONAL 3,JATENG,BREBES,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,158,,,,,,,1/15/2026,,,,,CLUSTER,INITIAL,7400117754,3/12/2026,43206350,,v1,PO AWAL,
IMPLEMENTASI,TUWEL RW 01 TEGAL,TGL001433,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,136,,,,,,,1/28/2026,,,,,,,,,,,,,
IMPLEMENTASI,TUWEL RW 02 TEGAL,TGL001432,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,258,,,,,,,1/28/2026,,,,,,,,,,,,,
IMPLEMENTASI,TUWEL RW 03 TEGAL,TGL001431,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,210,,,,,,,1/28/2026,,,,,CLUSTER,INITIAL,7400120678,4/13/2026,48029600,,v1,PO AWAL,
IMPLEMENTASI,TUWEL RW 04 TEGAL,TGL001435,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,107,,,,,,,1/28/2026,,,,,,,,,,,,,
IMPLEMENTASI,TUWEL RW 05 TEGAL,TGL001434,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,110,,,,,,,1/28/2026,,,,,,,,,,,,,
IMPLEMENTASI,DESA DANASARI BOJONG TEGAL,TGL001483,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,656,,,,,,,1/19/2026,,,,,CLUSTER,INITIAL,7400120648,4/13/2026,153124300,,v1,PO AWAL,
IMPLEMENTASI,BOJONG RW 02 TEGAL,TGL001378,REGIONAL 3,JATENG,TEGAL,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,245,,,,,,,2/9/2026,,,,,CLUSTER,INITIAL,7400116351,3/4/2026,54598100,,v1,PO AWAL,
IMPLEMENTASI,NEGLA RW 08 BREBES,BBS000935,REGIONAL 3,JATENG,BREBES,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,213,,,,,,,2/26/2026,,,,,CLUSTER,INITIAL,7400119793,4/6/2026,43314950,,v1,PO AWAL,
IMPLEMENTASI,NEGLA RW 07 BREBES,BBS000783,REGIONAL 3,JATENG,BREBES,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,138,,,,,,,2/26/2026,,,,,CLUSTER,INITIAL,7400119786,4/6/2026,41071950,,v1,PO AWAL,
IMPLEMENTASI,Desa Walian Satu Tomohon Selatan,MND000298,REGIONAL 5,SULUT,MANADO,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,164,,,,,,,2/3/2026,,,,,CLUSTER,INITIAL,7400114954,2/26/2026,44190000,,v1,PO AWAL,
IMPLEMENTASI,PERUMAHAN SOLARIA INDAH GORONTALO,GTO000085,REGIONAL 5,GORONTALO,GORONTALO,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,176,,,,,,,1/28/2026,,,,,CLUSTER,INITIAL,7400119799,4/6/2026,36713450,,v1,PO AWAL,
IMPLEMENTASI,DUSUN BLOK HAMINTE KAMPUNG JAWA LAMA LHOKSEUMAWE,LSM000022,REGIONAL 1,NAD,LHOKSEUMAWE,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,144,,,,,,,3/9/2026,,,,,CLUSTER,INITIAL,7400119773,4/6/2026,61066750,,v1,PO AWAL,
IMPLEMENTASI,KELURAHAN MANGADU MAKASSAR,MKS001788,REGIONAL 5,SULSEL,MAKASSAR,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,749,,,,,,,3/10/2026,,,,,,,,,,,,,
IMPLEMENTASI,PENGGILINGAN RT 10 RW 17 JAKARTA,JKT006709,REGIONAL 2,JAKARTA,JAKARTA TIMUR,,,,,IMPLEMENTASI,DONE,DONE,RELEASED,DONE,,NOT STARTED,,,,,152,,,,,,,3/18/2026,,,,,CLUSTER,INITIAL,7400120664,4/13/2026,28962500,,v1,PO AWAL,
