"scraped_at","route","scope","phase","cluster_code","clean_list_name","work_order_number","vendor_label","astri_type","astri_label","derived_status","file_count","upload_date","verified_by","verified_at","revision_by","revision_at","revision_remark","filename","detail_url"
"19-Aug-26 4:49:39 PM","ATP CLUSTER - RFS","CLUSTER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_built_drawing_dwg","ABD Cluster DWG","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:49:39 PM","ATP CLUSTER - RFS","CLUSTER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_built_drawing_kmz","ABD Cluster KMZ","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:49:39 PM","ATP CLUSTER - RFS","CLUSTER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","build_of_quantity_as_plan_drawing","BoQ APD","APPROVED","1","2026-08-04 11:43:30","ifam.famula",,,,,"build_of_quantity_as_plan_drawing_BLT000695_20260804114329_BLT000695  BOQ APD BENCE RW 06 BLITAR.xlsx","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:49:39 PM","ATP CLUSTER - RFS","CLUSTER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","core_management","Core Management","ON REVIEW","1","2026-08-19 15:53:49",,,,,,"core_management_BLT000695_20260819155348_BLT000695  HPDB PRE ABD  BENCE RW 06 BLITAR.xlsx","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:49:39 PM","ATP CLUSTER - RFS","CLUSTER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","justifikasi_berita_acara_opname","Justifikasi Berita Acara Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:49:39 PM","ATP CLUSTER - RFS","CLUSTER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","project_opname","Project Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:49:39 PM","ATP CLUSTER - RFS","CLUSTER","RFS","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","subfeeder_project_opname","Project Opname Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=BLT000695&work_order_number=WO%2FBLITAR%2F2026%2FINST%2F10%2F8309&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:15 PM","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","build_of_quantity_as_built_drawing","ABD BoQ Cluster","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=BLT000695&work_order_number=WO/ALL/2026/DOCU/16/80008&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:15 PM","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_built_drawing_dwg","ABD Cluster DWG","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=BLT000695&work_order_number=WO/ALL/2026/DOCU/16/80008&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:15 PM","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","as_built_drawing_kmz","ABD Cluster KMZ","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=BLT000695&work_order_number=WO/ALL/2026/DOCU/16/80008&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:15 PM","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","build_of_quantity_as_plan_drawing","BoQ APD","APPROVED","1","2026-08-04 11:43:30","ifam.famula",,,,,"build_of_quantity_as_plan_drawing_BLT000695_20260804114329_BLT000695  BOQ APD BENCE RW 06 BLITAR.xlsx","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=BLT000695&work_order_number=WO/ALL/2026/DOCU/16/80008&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:15 PM","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","build_of_quantity_project_opname","BOQ Project Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=BLT000695&work_order_number=WO/ALL/2026/DOCU/16/80008&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 4:50:15 PM","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","BLT000695","BENCE RW 06 BLITAR","WO/BLITAR/2026/INST/10/8309","Technology Karya Mandiri","justifikasi_berita_acara_opname","Justifikasi Berita Acara Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=BLT000695&work_order_number=WO/ALL/2026/DOCU/16/80008&vendor_label=Technology%20Karya%20Mandiri"
